"origin","comb_cbd","comb_cbn","comb_thc","comb_cbg","comb_thcv","comb_cbc"
"Oakland",0.004312,0.159312,5.71787,0.11306,0.0103,0.095044
"Oakland",0.011616,0,10.240898,0.678784,0.0512,0.061512
"Oakland",5.648604,0.0339,4.466826,0.462388,0,0.105832
"Oakland",3.828772,0.025304,3.816216,0.196724,0.0094,0.069308
"Oakland",0.032736,0.008888,14.184406,0.394164,0.0166,0.021824
"Oakland",3.474944,0,1.05231,0.076084,0,0.021556
"Oakland",0.061492,0,17.660474,0.407844,0.124672,0.00396
"Oakland",0.051436,0,17.465754,0.34846,0.0956,0.004312
"Oakland",0.047704,0,17.43493,0.395276,0.1133,0.006688
"Oakland",9.122624,0.097416,5.169966,0.631388,0,0.062304
"Oakland",7.24792,0.096096,8.754054,0.705192,0,0.065616
"Oakland",0.176056,0.081664,12.354252,0.399844,0,0.030856
"Oakland",0.275556,0.067232,15.343442,0.402216,0,0.053484
"Oakland",0.256832,0.064592,18.84018,0.567132,0.005632,0.0044
"Oakland",9.122624,0.097416,5.169966,0.631388,0,0.062304
"Oakland",7.24792,0.096096,8.754054,0.705192,0,0.065616
"Oakland",0.176056,0.081664,12.354252,0.399844,0,0.030856
"Oakland",0.275556,0.067232,15.343442,0.402216,0,0.053484
"Oakland",0.256832,0.064592,18.84018,0.567132,0.005632,0.0044
"Oakland",0.330444,0.08786,17.132232,0.349756,0,0.033924
"Oakland",9.099296,0.010472,5.368842,0.425104,0,0.14426
"Oakland",9.261848,0.011,4.385282,0.207888,0,0.134252
"Oakland",0.953864,0.019272,9.491794,0.335348,0,0.116556
"Oakland",0.280592,0,20.22281,0.62646,0,0.045408
"Oakland",0.09944,0.040568,15.663982,0.288908,0,0.124848
"Oakland",0,0.009064,22.125416,0.630444,0,0.012056
"Oakland",0,0.012936,23.592222,0.478896,0,0.01408
"Oakland",0,0.016808,26.987128,0.82308,0,0.013464
"Oakland",0,0.01056,23.727698,1.237284,0,0.011
"Oakland",0,0.01232,20.795798,1.446132,0,0.007744
"Oakland",0,0.00968,19.772832,0.464108,0,0.009504
"Oakland",0,0.009416,19.106428,1.233452,0,0.005896
"Oakland",0,0.016016,19.585858,0.763932,0,0.002992
"Oakland",0,0.013904,22.531302,0.700968,0,0.007128
"Oakland",0,0.011528,18.077226,0.55562,0,0.007568
"Oakland",0,0.012496,20.933284,0.411984,0,0.01144
"Oakland",0,0.010032,16.76546,0.447856,0,0.006952
"Oakland",0.098384,0.06204,21.504874,0.903224,0,0.120812
"Oakland",0.09064,0.01056,14.650492,1.152364,0,0.010208
"Oakland",0.089496,0.012496,13.502262,0.356732,0,0.004488
"Oakland",0.093016,0.0088,16.584862,0.488868,0,0.00616
"Oakland",9.568452,0,5.485604,0.688212,0,0.121972
"Oakland",0.088704,0.013024,13.2044,1.383744,0,0.006424
"Oakland",0.095744,0.015664,16.440108,0.587384,0,0.013552
"Oakland",0.086416,0.015664,13.716284,0.603652,0,0.047812
"Oakland",0.088352,0.032648,20.41541,0.477768,0,0.05896
"Oakland",0.072776,0.02112,10.296476,0.245696,0,0.011176
"Oakland",0,0,17.806572,0.368208,0,0.007656
"Oakland",0.090904,0,16.255588,0.41698,0,0.034408
"Oakland",18.518124,0,0.598622,0.166408,0,0.176984
"Oakland",11.07084,0,4.61388,0.322256,0,0.048136
"Oakland",0.087824,0.014344,15.889532,0.7942,0,0.022968
"Oakland",0,0.025872,10.568728,0.31218,0,0.0154
"Oakland",0.07876,0.007128,8.011116,0.620168,0,0
"Oakland",0.094952,0.011528,10.66568,0.780152,0,0
"Oakland",0.10428,0.018392,20.577066,0.314608,0,0.005368
"Oakland",0.086856,0.013112,17.22635,0.460728,0,0.017776
"Oakland",0.087736,0.016808,16.023674,0.242228,0,0.015928
"Oakland",0.086856,0.041184,11.335338,0.292256,0,0.022528
"Oakland",0.234364,0.019272,13.210244,0.294724,0,0.007128
"Oakland",7.073748,0,3.491414,0.349776,0,0.076444
"Oakland",0.079904,0.010296,16.248758,0.32304,0,0.074152
"Oakland",0.093896,0.022528,21.11063,0.845832,0,0.053864
"Oakland",0.092928,0.023672,17.719112,0.354256,0,0.063296
"Oakland",13.282228,0,5.00208,0.322684,0,0.098348
"Oakland",0.10472,0.019008,23.695636,0.904316,0,0
"Oakland",0.104456,0,13.995996,0.431516,0,0
"Oakland",6.598316,0,3.116978,0.262772,0,0.032736
"Oakland",0.0924,0.012936,18.059324,0.637388,0,0
"Oakland",0.09592,0.0154,20.914644,0.390408,0,0
"Oakland",0.089056,0.008976,8.595034,0.669552,0,0.001848
"Oakland",0.09548,0.01496,12.119034,0.297396,0,0.0066
"Oakland",0,0.013464,11.94008,0.473292,0,0.019536
"Oakland",0,0.0198,10.586948,0.1074,0,0
"Oakland",0.160776,0.027632,12.676062,0.45888,0,0
"Oakland",0.172568,0.028072,13.568888,0.500824,0,0
"Oakland",0,0,10.84535,0.271276,0,0
"Oakland",0,0.04532,13.956038,0.403024,0,0.004576
"Oakland",0,0.009064,18.992126,0.337,0,0
"Oakland",0.085448,0.030008,14.664728,1.217252,0,0
"Oakland",0.08052,0,13.71911,0.223912,0,0.0481
"Oakland",0.063712,0,0,0,0,0
"Oakland",7.864572,0,0.209242,0,0,0.0945
"Oakland",0.092752,0.053152,16.00107,1.504696,0,0.006776
"Oakland",0.095568,0.013024,16.161162,1.144244,0,0.001584
"Oakland",0.098032,0.01012,18.810282,0.442336,0,0
"Oakland",0.094424,0.061512,14.153464,1.370744,0,0.066704
"Oakland",0.087032,0.026488,20.146076,0.828288,0,0
"Oakland",0.088704,0.022352,14.20499,0.933492,0,0.001672
"Oakland",0.090024,0.041536,18.405178,1.33216,0,0
"Oakland",0.077352,0.017864,21.70303,0.556248,0,0
"Oakland",0.088176,0.01848,19.333098,0.474628,0,0.015312
"Oakland",0.089936,0.030448,14.694838,0.343312,0,0
"Oakland",0.07744,0.015928,15.600034,0.557952,0,0.02508
"Oakland",0.090112,0.022616,22.568482,0.338824,0,0
"Oakland",11.713868,0,0.846964,0.312048,0,0.053592
"Oakland",0,0,0.606184,0.019364,0,0.003872
"Oakland",0.141892,0,0.085366,0.005632,0,0.002024
"Oakland",0.126336,0,0.1159,0.004136,0,0.00088
"Oakland",0.023156,0,0.237528,0.006632,0,0.002816
"Oakland",0.127796,0,0.09816,0.009204,0,0
"Oakland",0.034372,0,0.167852,0.017204,0,0.002112
"Oakland",0.0113,0.000792,0.332538,0.009808,0,0.00968
"Oakland",0.0047,0.000264,0.246288,0.004528,0,0.00484
"Oakland",0.56,0.5,23.418,0.368208,0,0.007656
"Oakland",0.079992,0.012584,17.569398,0.52552,0,0.053556
"Oakland",0.106216,0.012584,12.207818,0.368308,0,0
"Oakland",0.096624,0.014696,12.575768,0.351556,0,0
"Oakland",0.076472,0.03168,14.05573,0.77642,0,0.000616
"Oakland",0.09416,0.018304,10.980428,0.1388,0,0.01804
"Oakland",0.092488,0.008536,16.32643,0.813992,0,0.006776
"Oakland",0.091432,0.025432,20.199152,0.577972,0,0
"Oakland",0.033792,0,7.219938,0.319108,0,0.048928
"Oakland",16.448948,0,0.545424,0.114048,0,0.105072
"Oakland",0.078408,0.017248,14.8708,0.59738,0.035112,0.00088
"Oakland",0.073744,0.019888,5.112152,0.0792,0,0
"Oakland",0.081224,0,15.107238,0.579612,0,0.005368
"Oakland",0.085536,0.054472,11.705686,1.50238,0,0.001848
"Oakland",16.448948,0,0.545424,0.114048,0,0.105072
"Oakland",0.088352,0.0066,22.349378,0.443784,0,0
"Oakland",1.047424,0,0.002464,0.0424,0,0
"Oakland",0,0.012672,20.066852,0.467608,0,0
"Oakland",0.088,0.012848,27.69999,1.01978,0,0
"Oakland",0.07832,0.024288,16.360828,0.454416,0,0
"Oakland",0.093544,0.015224,14.282348,0.353352,0,0
"Oakland",0.080256,0.022176,15.91527,0.474792,0,0
"Oakland",0.103136,0.023848,22.245086,0.371656,0,0
"Oakland",0.106744,0.022176,20.560324,0.763908,0,0
"Oakland",0.307524,0.011968,13.4915,0.321776,0.005192,0
"Oakland",0.08932,0.014784,18.510484,0.887576,0.450296,0.048488
"Oakland",0.091256,0.011264,11.521834,0.425084,0,0
"Oakland",0,0,1.492832,0.132024,0,0.010472
"Oakland",0.077176,0,13.375252,0.268928,0,0
"Oakland",0.07744,0,11.77812,0.198256,0,0.001848
"Oakland",11.068552,0.008536,6.216596,0.834412,0,0.118888
"Oakland",0.147136,0.043472,23.728292,0.748304,0.065824,0.034672
"Oakland",0.0594,0.03432,19.351568,0.334532,0.036256,0.054296
"Oakland",0.09768,0.037312,16.079038,0.74818,0,0.030976
"Oakland",0.056232,0.020328,15.270886,0.521996,0,0.049896
"Oakland",0.096096,0.0308,17.266108,0.3683,0,0.238676
"Oakland",0.090552,0.02728,15.85217,0.616672,0,0.069872
"Oakland",0.085448,0.233668,11.579218,0.575832,0.032296,0.066144
"Oakland",0.092312,0.022176,17.123976,0.946304,0.060544,0.231504
"Oakland",0.097504,0.048312,14.33538,0.931952,0,0.0647
"Oakland",0.102872,0.076208,20.454044,0.41078,0.061424,0.106692
"Oakland",0.09724,0.027544,16.658892,0.649828,0.021472,0.125368
"Oakland",0.10868,0.038544,26.378878,0.604324,0.087296,0.090956
"Oakland",0.094688,0.020416,13.372928,0.483168,0,0.108744
"Oakland",0.10692,0.02288,25.321332,0.81508,0.054472,0.173164
"Oakland",0.116072,0.0308,18.238906,0.912636,0,0.115332
"Oakland",0.108592,0.029656,20.03421,0.91672,0,0.037664
"Oakland",0.09988,0.037312,19.34424,0.87198,0.240152,0.04092
"Oakland",0.102608,0.024552,17.537106,0.537504,0,0.222868
"Oakland",0.105072,0.035992,17.68552,1.15458,0,0.122588
